genes,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,treatment1,treatment2,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,treatment9,treatment10
gene11090,109,1,295,39,202,38,5,79,1,15,4066,0,379,0,52,0,0,0,28,1939
gene11091,0,0,15704,0,2,0,0,0,0,1400,0,0,0,0,0,0,1,0,0,0
gene11092,0,0,8,0,0,171,99,0,111,2,9,66,0,83,85,97,0,21,226,0
gene11093,0,0,1,0,1,2,0,1,0,0,0,0,247,0,0,0,79,0,36,0
gene11094,0,4,0,0,2,0,0,2,2,1,0,2,2,6,0,1,3,3,3,0
gene11095,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11096,0,1424,0,0,0,11,26956,11,0,0,0,0,0,0,0,0,0,0,0,0
gene11097,1,0,1,0,0,4,0,4,1,1,1,0,0,1,1,0,0,0,0,0
gene11098,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
gene11099,0,25,0,1,31,228,434,172,0,598,4,2,1,8,19,25,0,0,4,0
gene11100,0,0,0,131,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11101,0,3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11102,11,0,0,28,34,94,34,0,0,58,2,0,0,0,3,6,0,10,0,4
gene11103,38715,0,0,0,1,0,0,0,0,63975,5160,0,0,0,0,0,0,7538,0,432
gene11104,1458,0,87,0,463,12,2745,0,6,67,39,29042,106,1,30009,2380,202,204,4,24
gene11105,0,2872,0,0,62,815,0,0,0,970,0,0,18,2456,0,0,0,0,0,0
gene11106,0,23,0,0,0,0,0,0,0,0,2,1,1,0,2,0,4,0,0,3
gene11107,21,266,0,16,5,0,0,429,18952,127475,0,0,0,1,0,0,0,2,4,1
gene11108,0,0,0,0,0,0,0,0,0,0,0,14,67,0,1,3745,942,20,154,4588
gene11109,0,200163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11110,0,0,0,104244,0,302,0,0,0,0,1,0,1,0,0,0,0,0,0,0
gene11111,3124,65,51,20684,0,28,18941,0,949,288,0,0,0,0,0,0,0,1,0,0
gene11112,32,1,2,65,0,0,6,146,0,0,0,0,0,0,24085,0,0,0,0,0
gene11113,0,0,13,6,3,1,2,0,0,4,7,0,18,1,2,1,0,1,0,7
gene11114,0,0,0,0,0,0,0,0,0,0,0,0,8,76,88,12,2,3,241,0
gene11115,0,0,0,0,0,0,1,0,0,0,3,2,9,8,7,4,3,4,24,7
gene11116,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
gene11117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gene11118,0,3,0,2,1,1,0,1,1,0,9,0,2,3,0,0,0,1,0,0
gene11119,0,11902,13011,146,0,0,0,0,10227,0,90,1,7,7,54,0,9,119,87,0
gene11120,0,1577,0,0,2603,0,4,0,0,0,0,1,0,0,1,0,2,1,0,0
gene11121,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gene11122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11123,1,0,1,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0
gene11124,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gene11125,1,1,1,0,2,0,4,1,0,0,7,14,14,6,7,18,43,9,14,7
gene11126,0,0,0,2,0,0,0,0,0,1005,0,15,1,0,38,1,3,0,0,5
gene11127,53,0,772,66,0,536,1,1,0,181,0,0,0,0,0,0,0,0,0,0
gene11128,45,4,0,7,12,245,213,15,16,0,0,0,0,0,0,0,7528,0,33317,0
gene11129,0,0,1,0,0,0,1,0,0,2,13,13,3,0,3,8,8,7,86,16
gene11130,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
gene11131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
gene11132,0,0,735,0,6360,0,0,0,0,13915,2,4,8,3,3,2,5,3,4,5
gene11133,0,3,2,2,2,0,3,5,4,5,5,2,20,0,2,5,7,9,10,8
gene11134,0,0,2,0,0,0,0,0,0,0,12,10,0,0,0,17,1,113,20,82
gene11135,2228,83,0,733,24730,0,0,921,0,5192,0,0,0,0,0,0,0,0,0,0
gene11136,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6710,0
gene11137,6,4,1,1,1,1,0,0,0,1,3,10,3,1,0,5,4,4,0,0
gene11138,0,9080,0,154,0,0,2858,0,3,0,73,4158,0,1,0,120,0,2031,165,0
gene11139,1,0,0,0,0,0,0,0,1,1,0,3288,0,0,0,0,0,0,8,0
gene11140,1,0,0,0,0,0,1,0,0,0,0,5262,0,0,11158,0,0,522,0,1084
gene11141,1,12,511,11985,0,136047,26,1,7,0,2,0,0,0,1,2,1,0,1,2
gene11142,45,0,0,54,14,9,407,0,0,105,0,0,0,0,0,0,0,0,0,0
gene11143,0,0,3,2,100,0,11,44,0,0,66,1,432,491,0,15,5,0,0,260
gene11144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,300,54,0,6
gene11145,0,1,0,0,0,1,0,1,0,0,0,7107,0,0,0,0,0,835,0,0
gene11146,2,5,13,2,2,8,4,3,4,6,0,3,0,1,0,0,124,99,55,33
gene11147,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
gene11148,0,2,1,0,0,2,0,10,35,4,43,0,0,0,0,275,5,13,3,42
gene11149,2,1,6,15,1,1,1,0,0,1,2,1,0,0,0,0,1,2,12,2
gene11150,2,35,0,0,25,16,2,84,22,0,2692,0,0,0,0,198,0,4123,1137,0
gene11151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11152,0,4,135,4,81,59,366,64,8,43,0,0,1,0,0,0,0,0,0,0
gene11153,8,13,15,3,1,11,5,4,0,12,0,278,1,339,0,1843,0,0,29,449
gene11154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene11156,22,25,0,48,14,0,0,3,8,0,0,2,1,1,1,1,0,0,0,1
gene11157,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
gene11158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene11159,1,1,0,0,0,0,0,0,0,0,0,1991,6635,199,2612,1,2617,1,10,7744
gene11160,0,0,2,0,0,0,0,0,4,0,1,2,0,2,0,0,0,0,0,1
gene11161,0,1086,166,3,1,8,71,891,672,0,0,1,0,0,0,1,0,0,1,0
gene11162,0,0,85,22,0,0,0,140,0,0,0,1,0,0,0,0,1,0,0,0
gene11163,1,0,3,5,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0
gene11164,14,4,1,1347,7,225,3,49,40,674,0,0,0,0,0,0,0,0,0,0
gene11165,7,0,0,0,2,7,2,0,2,6,0,0,0,0,0,0,0,2,0,0
gene11166,0,0,8,0,0,2,1,0,8,1,1,99,20,533,1,1,388,46,33,0
gene11167,71,0,10,12,219,1,889,110,4,683,1,0,0,0,0,0,1,0,0,1
gene11168,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,0,0,0,57,0
gene11169,26797,0,41,0,0,2994,392,0,9203,1408,0,90,0,0,0,4,0,0,0,54
gene11170,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,3,0
gene11171,3,2,7,6,4,2,3,11,5,8,19,0,0,22,50,334,1,0,222,2828
gene11172,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
gene11173,0,0,0,0,0,0,0,0,0,0,190,14,32,0,0,70,72,0,101,2
gene11174,1,0,0,0,0,1,0,1,0,2,0,2,0,1691,0,0,0,0,0,0
gene11175,37711,2,460,635522,0,0,49,23,97,2,0,2,4,0,0,3,2,4,0,2
gene11176,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
gene11177,0,0,1,2,0,3,0,2,0,1,23,0,0,0,0,0,103,99,0,0
gene11178,5,9,1,41,99,83,64,43,14,0,1,1,1,1,0,2,1,1,0,0
gene11179,0,0,0,0,11,9539,0,0,3,64,49,0,0,0,0,10,599,8,41,59
gene11180,47,664,4779,6,1483,0,66,16636,5297,151,0,0,0,1,0,0,0,0,223,0
gene11181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1
gene11182,4,2,2,8,0,7,8,6,0,13,0,1,0,0,0,0,0,0,0,0
gene11183,0,0,0,0,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,1,0
gene11184,4,64,44,5,160,254,0,98,218,5,15,18,0,0,3,6,9,0,563,0
gene11185,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
gene11186,0,0,0,1,0,0,0,0,0,0,857,5780,2,269,30,2012,92,87,0,0
gene11187,1,7,0,0,2,109,0,1,31,0,0,4,0,11785,1933,0,266,0,0,0
gene11188,0,1279,11119,0,0,0,0,377,0,0,1,3,3,45,0,27,1,0,2,3
gene11189,6,9,9,12,2,0,19,10,1,3,11,0,0,22,0,16,13,0,2,24
gene11190,0,0,0,1,0,0,0,0,0,0,55,4,7,108,3,0,36,165,13,197
gene11191,0,19,1,9,5,18,49,3,25,16,2,3,0,2,9,0,0,4,3,9
gene11192,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11193,0,0,1,0,0,0,0,0,0,0,3,1,0,0,4,0,5,0,4,0
gene11194,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
gene11195,0,0,0,1,0,0,0,0,0,1,0,4,0,1,0,2,0,0,0,1
gene11196,0,1,282,56,0,143,337,0,1180,19,0,0,0,0,16584,0,0,0,0,0
gene11197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
gene11198,0,0,0,0,0,0,1,0,0,0,0,0,0,18,3,14,0,1,1,4
gene11199,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11200,0,13,21,0,18,8,13,32,0,32,0,0,3,1,0,1,4,2,2,5
gene11201,0,0,0,0,0,0,0,0,0,1,0,0,2865,0,0,0,0,0,0,2091
gene11202,69,111,211,0,4419,3,0,0,0,4,1,0,0,1,1,1,1,0,2,0
gene11203,1,0,1,25,3,0,0,1,0,4,0,0,0,0,0,0,0,1,1,0
gene11204,737,8,212,0,0,3983,16,0,0,16,6,3,16,22,6,5,20,18,12,0
gene11205,0,10137,0,9,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0
gene11206,0,1,27,0,0,0,2,0,1,0,121,16156,0,0,3367,0,0,0,0,0
gene11207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11208,0,0,0,0,2,2,1,0,3,0,0,15,0,0,0,0,0,16,0,0
gene11209,0,0,0,0,0,0,0,0,41620,0,0,9,0,0,0,0,0,0,7,0
gene11210,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene11211,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
gene11212,5,0,0,0,0,6,0,1,1,0,45,48,179,0,0,0,146,96,0,479
gene11213,0,0,0,0,0,0,662,0,7400,0,0,0,0,0,0,1,0,0,0,0
gene11214,0,0,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
gene11215,0,0,0,0,0,0,0,0,0,1,36,0,0,2,7,1,0,5,0,3
gene11216,0,0,0,0,0,0,0,0,0,0,3,3,11,8,22,18,0,0,0,0
gene11217,3,0,5,4,0,35,0,0,0,0,2,2,0,0,0,0,0,0,0,0
gene11218,9,0,4,0,10,5,1,0,7,0,0,33,6,9,2,10,0,0,0,7
gene11219,0,0,0,5,2,0,9,10,0,0,1,0,0,0,0,0,1,0,0,0
gene11220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0
gene11221,1,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,45,34,5,0
gene11222,0,0,1,0,2,0,2,0,2,0,0,0,0,0,51,0,0,0,1,10462
gene11223,0,3,1,0,6,0,0,6,0,42,0,0,0,0,0,0,0,1,0,0
gene11224,2,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,7918,0,0,0
gene11225,68,8,4,0,10,12,11,33,3,0,1,0,0,0,1433,0,0,0,0,3
gene11226,0,0,0,10332,16788,1,0,0,0,0,0,0,233,0,0,4760,0,0,0,1
gene11227,5,3178,0,518,0,934,0,1303,795,0,0,1,0,0,1,1,1,1,0,1
gene11228,0,1,0,0,0,0,0,0,0,0,0,13,16,3,2,9,1,0,4,0
gene11229,4,2,3,1,1,2,2,5,0,3,1,83,0,13,23,21,3,0,6,4
gene11230,0,18,0,0,0,0,56,0,0,0,21,682,1314,0,216,1,39,4,0,36
gene11231,35,0,800,552,3446,200,38,1,0,1,2,0,1,1,3,0,2,0,1,25
gene11232,5,28,0,0,0,160,0,0,0,0,35,0,30,0,2,3,0,7,0,6
gene11233,0,0,2456,0,8024,0,8494,6332,0,1,0,0,0,0,0,0,0,0,0,0
gene11234,10640,53,0,91705,0,2,0,0,120987,148211,0,0,0,0,1,0,0,0,0,0
gene11235,0,0,1,1,40,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
gene11236,0,0,0,0,1,0,0,0,2,0,0,0,0,355,0,0,0,0,0,0
gene11237,145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11238,0,0,0,0,0,0,0,0,0,0,23,35,62,5,0,36,26,125,4,19
gene11239,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,3,1,0
gene11240,14,0,0,0,14719,0,0,2599,0,1305,0,0,0,0,0,0,0,0,0,0
gene11241,11416,11198,3521,15,3,82,5515,58495,2,4908,119,0,0,0,1,0,0,7,35,0
gene11242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gene11243,2,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11244,19,3,124,0,65,7,118,41,11,2,0,0,4,7,0,7,0,5,2,0
gene11245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
gene11246,0,228,0,32,12,1358,6653,32,0,31,0,0,0,1,0,0,1,0,0,0
gene11247,1,3,0,0,0,0,2,0,2,0,0,0,922,95,6654,0,267,289,0,0
gene11248,0,0,0,0,0,0,0,0,0,0,2,350,0,0,0,0,0,0,0,64
gene11249,396,58,1,59,40,0,1,0,358,1,0,0,397,0,1,0,1,0,0,0
gene11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11251,0,1,0,0,2,11,3,2,0,8,0,2,2,0,0,0,1,1,2,0
gene11252,0,4,0,1,0,0,0,10,3,0,0,26,0,0,0,0,0,3,0,0
gene11253,923,0,1176,0,1,10,0,65,0,0,0,1,0,0,0,4558,0,0,0,0
gene11254,0,0,0,0,0,1,0,0,0,0,0,0,25,0,155,0,0,0,0,0
gene11255,36,89,0,1,32,4,5,15,32,50,1,0,1,0,0,0,2,0,0,0
gene11256,39,0,5,31,0,29,0,48,3,9,0,1,0,0,207,26,63,76,39,0
gene11257,1,0,0,1,0,2,0,0,0,1,0,0,8,15,1,22,9,39,0,0
gene11258,2,0,44,0,0,0,169,448,1,229,0,0,2,0,0,1,0,0,0,0
gene11259,6,1,0,0,0,1,7,6,2,15,0,1,0,0,0,0,1,0,1,0
gene11260,0,0,1,0,0,0,0,0,0,0,49,57,2,9,0,4,0,66,22,2
gene11261,406,19,32,68,34,4,24,10,34,0,0,0,1,0,0,0,0,1,0,0
gene11262,0,81347,651,0,0,8683,6404,0,0,24122,0,0,0,0,0,0,0,1,0,0
gene11263,0,0,0,0,0,0,0,0,0,0,7,1,1,3,27,0,1,0,31,0
gene11264,18,0,18,0,1,20,2,11,13,50,0,0,0,0,0,0,4,0,0,1
gene11265,13,12,0,0,3,2,2,0,7,0,0,0,0,1,0,0,0,0,1,0
gene11266,3099,0,1,0,0,2566,0,0,596,0,0,0,826,215,0,327,0,275,19,0
gene11267,17123,17,11365,0,0,33408,335,10292,135072,79,0,4,0,28,0,4,0,6,0,0
gene11268,0,2,408,3,60,0,0,29,174,0,0,0,3,1,347,70,4,0,2,0
gene11269,0,0,0,0,0,0,0,0,0,0,2956,0,37211,0,99435,0,0,0,12261,4
gene11270,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gene11271,0,0,4,0,0,1,11219,0,78361,295,0,0,0,0,1,0,0,0,0,0
gene11272,0,0,0,0,0,0,0,0,0,0,0,0,5145,0,4,0,485,18452,2108,667
gene11273,0,0,5,0,0,11,1,0,0,0,605,0,267,0,0,580,0,2129,0,0
gene11274,2,1,1,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0
gene11275,0,0,0,0,0,0,0,0,0,1,22,58,71,31,3,0,70,1,0,1
gene11276,13,243,1605,532,974,42,0,180,243,781,1391,74,1119,51,0,0,813,16,308,100
gene11277,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
gene11278,0,0,1,0,0,0,0,0,1,0,0,4,1,3,397,345,5,0,0,2234
gene11279,0,28,0,1,4183,0,0,19,0,9559,3,1,19,37,46,0,1,0,39,0
gene11280,0,0,0,0,0,0,0,0,0,0,18,0,0,0,30230,376,13585,0,0,0
gene11281,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,9,0,34
gene11282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0
gene11283,0,0,0,0,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,1
gene11284,4,34,0,1761,0,23,3,0,324,173,0,0,0,0,0,0,0,0,0,0
gene11285,0,1,7,4,7,15,4,0,0,3,311,228,2,38,140,5,168,27,23,0
gene11286,703,0,9,0,2,4,0,0,0,9924,0,0,1,0,2,0,0,19,0,0
gene11287,0,3352,12381,0,0,0,0,0,4,0,9,26,245,1943,0,0,0,0,0,5
gene11288,0,0,0,0,0,0,0,0,0,0,0,3691,2,263,0,10,101,0,0,0
gene11289,103,0,0,4056,209,0,445,0,19,0,0,0,0,0,0,6,0,1,0,0
gene11290,14,1,1,1,0,1,6,13,22,1,1,0,0,1,0,0,2,0,0,0
gene11291,1,2,136,9,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0
gene11292,1,0,0,3,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,1
gene11293,306,0,23,28,39,15,8,250,24,5,15,0,1,0,1,844,0,0,9,0
gene11294,0,7731,0,1,0,8315,0,0,36,10143,59,0,0,78,0,0,0,0,0,67
gene11295,558,0,0,959,10,0,12197,0,10,933,0,0,0,0,0,1,0,1,1,0
gene11296,17,4210,369,1823,17,1271,153,16,82,284,59,29,0,387,8,0,89,1105,30,0
gene11297,1,0,0,0,0,0,0,0,0,0,0,0,19,0,28,1,0,0,45,143
gene11298,0,0,0,2,3,0,2,0,3,2,0,537,54,847,2,72,298,9,0,158
gene11299,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,91,0
gene11300,1,1,0,0,1,0,1,0,0,0,1,4,0,1,2,0,0,0,1,1
gene11301,0,35,0,0,1,0,0,2,2,3,0,95,0,0,0,0,4643,0,0,0
gene11302,0,0,0,0,0,0,1,0,0,1,0,0,103,34,167,316,38,2,9,0
gene11303,0,0,0,468,16,48734,0,0,0,189,0,0,0,0,0,50,0,0,0,0
gene11304,875,3,0,0,10428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11305,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
gene11306,0,0,10013,109,69724,0,0,743,0,0,2,0,2,4,0,1,0,2,0,0
gene11307,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gene11308,7,12,0,126,123,5,1,44,1,29,0,0,0,0,0,0,0,0,1,0
gene11309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gene11310,0,3,0,0,4,8,7,4,0,8,0,1,0,0,84,23,87,0,4,0
gene11311,6,3,0,2,8,9,6,91,0,15,0,71,28,0,3,8,8,37,0,0
gene11312,0,0,0,0,0,0,1,0,0,0,0,0,0,195,0,9,29,0,0,0
gene11313,0,310,0,2205,6756,1,0,35,0,1,1,0,2,0,0,0,0,0,1,0
gene11314,35,0,0,4,16,26,0,0,0,0,0,0,0,26,0,1,0,0,464,8
gene11315,0,0,0,0,0,0,0,0,0,0,0,0,0,47,44,6010,0,1451,26,0
gene11316,0,0,0,0,0,0,0,0,0,0,8,0,225,47,19,1,2,0,28,117
gene11317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11318,0,89,17272,117,85330,80143,842,0,3074,14764,0,0,0,5,0,0,0,0,5,0
gene11319,0,2,0,13,1,25,0,0,0,0,0,0,1,187,0,0,0,0,1,0
gene11320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,1,0
gene11321,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,9,1,10,2
gene11322,0,0,0,0,0,0,0,0,0,0,0,11138,0,0,0,0,0,0,0,0
gene11323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,2,0,0
gene11324,20,1,20,74,16,17,0,66,25,52,9,1,4,2,1,11,2,1,4,2
gene11325,1,2,0,2,0,0,0,0,1,0,0,42,0,0,0,8,0,0,0,1175
gene11326,49,45,26,11,165,9,15,10,27,104,1113,4363,0,0,0,1002,0,782,0,0
gene11327,81,8,3,90,7,0,36,71,29,0,1,0,2,0,3,2,8,0,14,1
gene11328,0,0,0,17,121,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
gene11329,245,14,132,5,0,190,0,407,20,0,0,0,517,5,27,333,501,211,0,8
gene11330,0,0,8576,6154,0,0,0,1535,0,0,0,0,0,1,0,0,0,0,0,0
gene11331,5,7,0,4,2,22,10,34,3,14,0,0,0,0,0,1254,2,0,0,0
gene11332,0,398,173,58,0,1242,15,594,13,875,0,0,0,0,1,0,2,2,3,1
gene11333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
gene11334,10,158,2000,134,583,17,1,1470,1931,108,0,0,0,0,0,0,0,0,0,0
gene11335,0,0,0,0,0,0,0,0,0,0,5,0,1,0,34,0,0,1,0,14
gene11336,12,9,2,1,4,1,4,7,0,5,0,0,0,0,0,0,0,2,0,1
gene11337,100,0,0,0,0,0,0,3,0,13,293,0,26,0,0,0,0,0,1380,0
gene11338,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
gene11339,0,0,0,0,30308,0,0,0,0,0,0,815,0,0,0,10045,2895,0,0,2730
gene11340,1,1,2,3,0,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0
gene11341,0,0,2,0,2,1,4,1,0,7,5,376,109,0,1,315,0,0,31,8
gene11342,1198,0,0,20,0,21,4142,2648,7490,5,1,14,0,0,0,0,0,8,3,0
gene11343,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene11344,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,1,0,0,0,0
gene11345,0,11,649,5,1,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0
gene11346,1,0,0,0,0,3,2,1,1,3,10,4,0,9,26,0,2,0,1,3
gene11347,22,2,13,0,0,0,1,0,3,0,939,2,548,0,0,0,93,1,0,0
gene11348,0,1167,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,25
gene11349,0,0,0,1,0,0,1,1,0,0,0,5,762,8,0,142,159,56,0,9
gene11350,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
gene11351,3,17,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
gene11352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene11353,487,3164,0,21990,4991,88,0,5,16,0,0,0,0,0,61,214,0,0,0,0
gene11354,16,12,0,0,1,23,1,30,15,3,1634,9381,760,835,28724,419,71208,133,0,68
gene11355,7985,0,0,0,0,0,0,3645,0,0,0,0,0,3026,0,0,19,0,0,0
gene11356,0,0,0,0,0,299,126,0,24597,0,74,0,2,0,26,4,7,355,1,0
gene11357,0,0,4,0,73,413,0,117,311,13,0,0,0,0,0,0,0,0,0,0
gene11358,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,3,0,0,0
gene11359,256,0,14994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gene11360,3,1,1,2,0,0,0,1,0,0,68,5,30,0,2,85,72,28,0,21
gene11361,120,610,101,1,0,13,0,71,10,0,0,67,0,2,0,29,44,0,10,0
gene11362,1,1,1,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
gene11363,161,0,0,38,0,0,306,0,0,33527,0,4,16,0,0,2,2,0,3,2
gene11364,37759,29911,117253,499,9569,20913,3629,6365,19249,352,0,0,1,0,0,0,0,0,0,0
gene11365,0,0,0,0,0,0,0,0,0,0,0,23,74,0,181,42,0,16,0,0
gene11366,2231,0,588,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0
gene11367,82,0,1,2,28,2,1,156,0,1,0,0,1,0,0,0,0,0,0,102
gene11368,0,0,0,1,0,0,0,0,1,2,31006,0,0,0,0,0,0,0,0,0
gene11369,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,3,0,0,1,0
gene11370,0,53164,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,2,4
gene11371,0,542,3,2,0,8,955,0,1240,0,2049,281,83,233,534,3,0,342,1252,1161
gene11372,0,0,0,0,0,1,2,3,0,2,0,0,0,0,1,0,0,0,0,0
gene11373,0,0,0,0,0,0,0,0,0,0,0,0,37,5,48,67,1,4,26,0
gene11374,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
gene11375,0,0,0,0,0,0,0,0,0,0,0,0,48,9,1,50,0,0,0,0
gene11376,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11377,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7,0,0,393,219,425
gene11378,4,1786,145,961,220,5289,583,111,103,31,0,0,0,0,0,0,0,0,0,0
gene11379,0,0,2,0,1,291,355,0,18,0,1,1,0,3,1,0,1,0,1,0
gene11380,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,11,9954,0,0,0
gene11381,2,5,22,0,0,0,3,2,0,2,2255,15738,8180,29,41441,0,0,12619,6,29
gene11382,0,0,20235,0,0,554249,19629,0,0,1,0,31,2066,4,1007,0,25,0,5575,12360
gene11383,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,1,0,2,0,3
gene11384,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,3,0,1
gene11385,0,0,1986,0,6746,0,5158,353,739,96,0,1,0,1,0,0,0,0,0,0
gene11386,14,6200,0,1703,4,43,0,2933,8555,0,57,666,3,41,0,6,0,6,0,0
gene11387,19,31,327,0,1,0,118,11,1,0,0,42,12,5,1,29,8,4,2,5
gene11388,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11389,1,0,1,2,3178,9,35,0,92,0,35,0,4,3,49,64,0,10,1,8
gene11390,0,19524,0,0,0,6678,123,2,582,0,0,0,0,0,0,289,0,0,23791,0
gene11391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0
gene11392,1898,10341,300,7852,0,173,65037,1,759,16,0,0,1,0,0,0,0,0,0,0
